"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 113 EnsDb for Ciona intestinalis","Gene and protein annotations for Ciona intestinalis based on Ensembl version 113.","3.20","KH","ensembl","http://www.ensembl.org","113","Ciona intestinalis","7719",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cintestinalis.v113.sqlite","EnsDb.Cintestinalis.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Callithrix jacchus","Gene and protein annotations for Callithrix jacchus based on Ensembl version 113.","3.20","mCalJac1.pat.X","ensembl","http://www.ensembl.org","113","Callithrix jacchus","9483",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cjacchus.v113.sqlite","EnsDb.Cjacchus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Coturnix japonica","Gene and protein annotations for Coturnix japonica based on Ensembl version 113.","3.20","Coturnix_japonica_2.0","ensembl","http://www.ensembl.org","113","Coturnix japonica","93934",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cjaponica.v113.sqlite","EnsDb.Cjaponica.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Chinchilla lanigera","Gene and protein annotations for Chinchilla lanigera based on Ensembl version 113.","3.20","ChiLan1.0","ensembl","http://www.ensembl.org","113","Chinchilla lanigera","34839",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Clanigera.v113.sqlite","EnsDb.Clanigera.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cyclopterus lumpus","Gene and protein annotations for Cyclopterus lumpus based on Ensembl version 113.","3.20","fCycLum1.pri","ensembl","http://www.ensembl.org","113","Cyclopterus lumpus","8103",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Clumpus.v113.sqlite","EnsDb.Clumpus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Canis lupus dingo","Gene and protein annotations for Canis lupus dingo based on Ensembl version 113.","3.20","ASM325472v1","ensembl","http://www.ensembl.org","113","Canis lupus dingo","286419",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Clupus_dingo.v113.sqlite","EnsDb.Clupus_dingo.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Canis lupus familiaris","Gene and protein annotations for Canis lupus familiaris based on Ensembl version 113.","3.20","ROS_Cfam_1.0","ensembl","http://www.ensembl.org","113","Canis lupus familiaris","9615",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Clupus_familiaris.v113.sqlite","EnsDb.Clupus_familiaris.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Canis lupus familiaris","Gene and protein annotations for Canis lupus familiaris based on Ensembl version 113.","3.20","Basenji_breed-1.1","ensembl","http://www.ensembl.org","113","Canis lupus familiaris","9615",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Clupus_familiarisbasenji.v113.sqlite","EnsDb.Clupus_familiarisbasenji.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Canis lupus familiaris","Gene and protein annotations for Canis lupus familiaris based on Ensembl version 113.","3.20","Dog10K_Boxer_Tasha","ensembl","http://www.ensembl.org","113","Canis lupus familiaris","9615",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Clupus_familiarisboxer.v113.sqlite","EnsDb.Clupus_familiarisboxer.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Canis lupus familiaris","Gene and protein annotations for Canis lupus familiaris based on Ensembl version 113.","3.20","UMICH_Zoey_3.1","ensembl","http://www.ensembl.org","113","Canis lupus familiaris","9615",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Clupus_familiarisgreatdane.v113.sqlite","EnsDb.Clupus_familiarisgreatdane.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Canis lupus familiaris","Gene and protein annotations for Canis lupus familiaris based on Ensembl version 113.","3.20","UU_Cfam_GSD_1.0","ensembl","http://www.ensembl.org","113","Canis lupus familiaris","9615",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Clupus_familiarisgsd.v113.sqlite","EnsDb.Clupus_familiarisgsd.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Callorhinchus milii","Gene and protein annotations for Callorhinchus milii based on Ensembl version 113.","3.20","Callorhinchus_milii-6.1.3","ensembl","http://www.ensembl.org","113","Callorhinchus milii","7868",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cmilii.v113.sqlite","EnsDb.Cmilii.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Corvus moneduloides","Gene and protein annotations for Corvus moneduloides based on Ensembl version 113.","3.20","bCorMon1.pri","ensembl","http://www.ensembl.org","113","Corvus moneduloides","1196302",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cmoneduloides.v113.sqlite","EnsDb.Cmoneduloides.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Camarhynchus parvulus","Gene and protein annotations for Camarhynchus parvulus based on Ensembl version 113.","3.20","Camarhynchus_parvulus_V1.1","ensembl","http://www.ensembl.org","113","Camarhynchus parvulus","87175",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cparvulus.v113.sqlite","EnsDb.Cparvulus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Chrysemys picta bellii","Gene and protein annotations for Chrysemys picta bellii based on Ensembl version 113.","3.20","Chrysemys_picta_bellii-3.0.3","ensembl","http://www.ensembl.org","113","Chrysemys picta bellii","8478",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cpicta_bellii.v113.sqlite","EnsDb.Cpicta_bellii.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Chrysolophus pictus","Gene and protein annotations for Chrysolophus pictus based on Ensembl version 113.","3.20","Chrysolophus_pictus_GenomeV1.0","ensembl","http://www.ensembl.org","113","Chrysolophus pictus","9089",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cpictus.v113.sqlite","EnsDb.Cpictus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cavia porcellus","Gene and protein annotations for Cavia porcellus based on Ensembl version 113.","3.20","Cavpor3.0","ensembl","http://www.ensembl.org","113","Cavia porcellus","10141",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cporcellus.v113.sqlite","EnsDb.Cporcellus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Crocodylus porosus","Gene and protein annotations for Crocodylus porosus based on Ensembl version 113.","3.20","CroPor_comp1","ensembl","http://www.ensembl.org","113","Crocodylus porosus","8502",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cporosus.v113.sqlite","EnsDb.Cporosus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Calidris pugnax","Gene and protein annotations for Calidris pugnax based on Ensembl version 113.","3.20","ASM143184v1","ensembl","http://www.ensembl.org","113","Calidris pugnax","198806",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cpugnax.v113.sqlite","EnsDb.Cpugnax.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Calidris pygmaea","Gene and protein annotations for Calidris pygmaea based on Ensembl version 113.","3.20","ASM369795v1","ensembl","http://www.ensembl.org","113","Calidris pygmaea","425635",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cpygmaea.v113.sqlite","EnsDb.Cpygmaea.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Chlorocebus sabaeus","Gene and protein annotations for Chlorocebus sabaeus based on Ensembl version 113.","3.20","ChlSab1.1","ensembl","http://www.ensembl.org","113","Chlorocebus sabaeus","60711",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Csabaeus.v113.sqlite","EnsDb.Csabaeus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Ciona savignyi","Gene and protein annotations for Ciona savignyi based on Ensembl version 113.","3.20","CSAV2.0","ensembl","http://www.ensembl.org","113","Ciona savignyi","51511",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Csavignyi.v113.sqlite","EnsDb.Csavignyi.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cynoglossus semilaevis","Gene and protein annotations for Cynoglossus semilaevis based on Ensembl version 113.","3.20","Cse_v1.0","ensembl","http://www.ensembl.org","113","Cynoglossus semilaevis","244447",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Csemilaevis.v113.sqlite","EnsDb.Csemilaevis.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Chelydra serpentina","Gene and protein annotations for Chelydra serpentina based on Ensembl version 113.","3.20","Chelydra_serpentina-1.0","ensembl","http://www.ensembl.org","113","Chelydra serpentina","8475",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cserpentina.v113.sqlite","EnsDb.Cserpentina.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Carlito syrichta","Gene and protein annotations for Carlito syrichta based on Ensembl version 113.","3.20","Tarsius_syrichta-2.0.1","ensembl","http://www.ensembl.org","113","Carlito syrichta","1868482",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Csyrichta.v113.sqlite","EnsDb.Csyrichta.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Catharus ustulatus","Gene and protein annotations for Catharus ustulatus based on Ensembl version 113.","3.20","bCatUst1.pri","ensembl","http://www.ensembl.org","113","Catharus ustulatus","91951",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Custulatus.v113.sqlite","EnsDb.Custulatus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Cyprinodon variegatus","Gene and protein annotations for Cyprinodon variegatus based on Ensembl version 113.","3.20","C_variegatus-1.0","ensembl","http://www.ensembl.org","113","Cyprinodon variegatus","28743",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cvariegatus.v113.sqlite","EnsDb.Cvariegatus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Catagonus wagneri","Gene and protein annotations for Catagonus wagneri based on Ensembl version 113.","3.20","CatWag_v2_BIUU_UCD","ensembl","http://www.ensembl.org","113","Catagonus wagneri","51154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Cwagneri.v113.sqlite","EnsDb.Cwagneri.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Denticeps clupeoides","Gene and protein annotations for Denticeps clupeoides based on Ensembl version 113.","3.20","fDenClu1.2","ensembl","http://www.ensembl.org","113","Denticeps clupeoides","299321",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Dclupeoides.v113.sqlite","EnsDb.Dclupeoides.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Dicentrarchus labrax","Gene and protein annotations for Dicentrarchus labrax based on Ensembl version 113.","3.20","dlabrax2021","ensembl","http://www.ensembl.org","113","Dicentrarchus labrax","13489",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Dlabrax.v113.sqlite","EnsDb.Dlabrax.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Delphinapterus leucas","Gene and protein annotations for Delphinapterus leucas based on Ensembl version 113.","3.20","ASM228892v3","ensembl","http://www.ensembl.org","113","Delphinapterus leucas","9749",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Dleucas.v113.sqlite","EnsDb.Dleucas.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Drosophila melanogaster","Gene and protein annotations for Drosophila melanogaster based on Ensembl version 113.","3.20","BDGP6.46","ensembl","http://www.ensembl.org","113","Drosophila melanogaster","7227",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Dmelanogaster.v113.sqlite","EnsDb.Dmelanogaster.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Dromaius novaehollandiae","Gene and protein annotations for Dromaius novaehollandiae based on Ensembl version 113.","3.20","droNov1","ensembl","http://www.ensembl.org","113","Dromaius novaehollandiae","8790",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Dnovaehollandiae.v113.sqlite","EnsDb.Dnovaehollandiae.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Dasypus novemcinctus","Gene and protein annotations for Dasypus novemcinctus based on Ensembl version 113.","3.20","Dasnov3.0","ensembl","http://www.ensembl.org","113","Dasypus novemcinctus","9361",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Dnovemcinctus.v113.sqlite","EnsDb.Dnovemcinctus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Dipodomys ordii","Gene and protein annotations for Dipodomys ordii based on Ensembl version 113.","3.20","Dord_2.0","ensembl","http://www.ensembl.org","113","Dipodomys ordii","10020",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Dordii.v113.sqlite","EnsDb.Dordii.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Danio rerio","Gene and protein annotations for Danio rerio based on Ensembl version 113.","3.20","GRCz11","ensembl","http://www.ensembl.org","113","Danio rerio","7955",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Drerio.v113.sqlite","EnsDb.Drerio.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Equus asinus","Gene and protein annotations for Equus asinus based on Ensembl version 113.","3.20","ASM1607732v2","ensembl","http://www.ensembl.org","113","Equus asinus","9793",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Easinus.v113.sqlite","EnsDb.Easinus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Eptatretus burgeri","Gene and protein annotations for Eptatretus burgeri based on Ensembl version 113.","3.20","Eburgeri_3.2","ensembl","http://www.ensembl.org","113","Eptatretus burgeri","7764",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Eburgeri.v113.sqlite","EnsDb.Eburgeri.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Equus caballus","Gene and protein annotations for Equus caballus based on Ensembl version 113.","3.20","EquCab3.0","ensembl","http://www.ensembl.org","113","Equus caballus","9796",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ecaballus.v113.sqlite","EnsDb.Ecaballus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Erpetoichthys calabaricus","Gene and protein annotations for Erpetoichthys calabaricus based on Ensembl version 113.","3.20","fErpCal1.1","ensembl","http://www.ensembl.org","113","Erpetoichthys calabaricus","27687",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ecalabaricus.v113.sqlite","EnsDb.Ecalabaricus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Electrophorus electricus","Gene and protein annotations for Electrophorus electricus based on Ensembl version 113.","3.20","fEleEle1.pri","ensembl","http://www.ensembl.org","113","Electrophorus electricus","8005",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Eelectricus.v113.sqlite","EnsDb.Eelectricus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Erinaceus europaeus","Gene and protein annotations for Erinaceus europaeus based on Ensembl version 113.","3.20","HEDGEHOG","ensembl","http://www.ensembl.org","113","Erinaceus europaeus","9365",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Eeuropaeus.v113.sqlite","EnsDb.Eeuropaeus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Erythrura gouldiae","Gene and protein annotations for Erythrura gouldiae based on Ensembl version 113.","3.20","GouldianFinch","ensembl","http://www.ensembl.org","113","Erythrura gouldiae","44316",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Egouldiae.v113.sqlite","EnsDb.Egouldiae.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Esox lucius","Gene and protein annotations for Esox lucius based on Ensembl version 113.","3.20","fEsoLuc1.pri","ensembl","http://www.ensembl.org","113","Esox lucius","8010",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Elucius.v113.sqlite","EnsDb.Elucius.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Echeneis naucrates","Gene and protein annotations for Echeneis naucrates based on Ensembl version 113.","3.20","fEcheNa1.1","ensembl","http://www.ensembl.org","113","Echeneis naucrates","173247",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Enaucrates.v113.sqlite","EnsDb.Enaucrates.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Echinops telfairi","Gene and protein annotations for Echinops telfairi based on Ensembl version 113.","3.20","TENREC","ensembl","http://www.ensembl.org","113","Echinops telfairi","9371",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Etelfairi.v113.sqlite","EnsDb.Etelfairi.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Ficedula albicollis","Gene and protein annotations for Ficedula albicollis based on Ensembl version 113.","3.20","FicAlb1.5","ensembl","http://www.ensembl.org","113","Ficedula albicollis","59894",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Falbicollis.v113.sqlite","EnsDb.Falbicollis.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Felis catus","Gene and protein annotations for Felis catus based on Ensembl version 113.","3.20","Felis_catus_9.0","ensembl","http://www.ensembl.org","113","Felis catus","9685",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Fcatus.v113.sqlite","EnsDb.Fcatus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Fukomys damarensis","Gene and protein annotations for Fukomys damarensis based on Ensembl version 113.","3.20","DMR_v1.0","ensembl","http://www.ensembl.org","113","Fukomys damarensis","885580",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Fdamarensis.v113.sqlite","EnsDb.Fdamarensis.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Fundulus heteroclitus","Gene and protein annotations for Fundulus heteroclitus based on Ensembl version 113.","3.20","Fundulus_heteroclitus-3.0.2","ensembl","http://www.ensembl.org","113","Fundulus heteroclitus","8078",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Fheteroclitus.v113.sqlite","EnsDb.Fheteroclitus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Falco tinnunculus","Gene and protein annotations for Falco tinnunculus based on Ensembl version 113.","3.20","FalTin1.0","ensembl","http://www.ensembl.org","113","Falco tinnunculus","100819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Ftinnunculus.v113.sqlite","EnsDb.Ftinnunculus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Gasterosteus aculeatus","Gene and protein annotations for Gasterosteus aculeatus based on Ensembl version 113.","3.20","BOT","ensembl","http://www.ensembl.org","113","Gasterosteus aculeatus","69293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Gaculeatus_gca006229185v1.v113.sqlite","EnsDb.Gaculeatus_gca006229185v1.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Gasterosteus aculeatus","Gene and protein annotations for Gasterosteus aculeatus based on Ensembl version 113.","3.20","BAM","ensembl","http://www.ensembl.org","113","Gasterosteus aculeatus","69293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Gaculeatus_gca006232265v1.v113.sqlite","EnsDb.Gaculeatus_gca006232265v1.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Gasterosteus aculeatus","Gene and protein annotations for Gasterosteus aculeatus based on Ensembl version 113.","3.20","SYL","ensembl","http://www.ensembl.org","113","Gasterosteus aculeatus","69293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Gaculeatus_gca006232285v1.v113.sqlite","EnsDb.Gaculeatus_gca006232285v1.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Gasterosteus aculeatus aculeatus","Gene and protein annotations for Gasterosteus aculeatus aculeatus based on Ensembl version 113.","3.20","GAculeatus_UGA_version5","ensembl","http://www.ensembl.org","113","Gasterosteus aculeatus aculeatus","481459",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Gaculeatus.v113.sqlite","EnsDb.Gaculeatus.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Gambusia affinis","Gene and protein annotations for Gambusia affinis based on Ensembl version 113.","3.20","ASM309773v1","ensembl","http://www.ensembl.org","113","Gambusia affinis","33528",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Gaffinis.v113.sqlite","EnsDb.Gaffinis.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
"Ensembl 113 EnsDb for Gopherus agassizii","Gene and protein annotations for Gopherus agassizii based on Ensembl version 113.","3.20","ASM289641v1","ensembl","http://www.ensembl.org","113","Gopherus agassizii","38772",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v113/EnsDb.Gagassizii.v113.sqlite","EnsDb.Gagassizii.v113.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:113"
